U.S. Energy Information Administration,,,,,,
February 2020 Monthly Energy Review,,,,,,
,,,,,,
0,,,,,,
,,,,,,
"Release Date: February 25, 2020",,,,,,
"Next Update: March 26, 2020",,,,,,
,,,,,,
Table 9.8 Average Retail Prices of Electricity,,,,,,
,,,,,,
Month,"Average Retail Price of Electricity, Residential","Average Retail Price of Electricity, Commercial","Average Retail Price of Electricity, Industrial","Average Retail Price of Electricity, Transportation","Average Retail Price of Electricity, Other","Average Retail Price of Electricity, Total"
,"(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)"
01/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1996,8.09,7.46,4.49,Not Available,6.83,6.65
04/01/1996,8.24,7.48,4.46,Not Available,6.75,6.63
05/01/1996,8.54,7.62,4.54,Not Available,7.01,6.77
06/01/1996,8.65,7.72,4.73,Not Available,7.25,7.03
07/01/1996,8.73,7.95,4.88,Not Available,7.1,7.27
08/01/1996,8.86,7.99,4.84,Not Available,7.08,7.3
09/01/1996,8.79,7.96,4.78,Not Available,6.92,7.16
10/01/1996,8.67,7.84,4.61,Not Available,7.11,6.91
11/01/1996,8.25,7.52,4.45,Not Available,6.8,6.65
12/01/1996,7.99,7.29,4.38,Not Available,6.63,6.58
01/01/1997,7.87,7.27,4.41,Not Available,6.82,6.62
02/01/1997,7.98,7.38,4.41,Not Available,6.74,6.61
03/01/1997,8.24,7.44,4.41,Not Available,6.98,6.66
04/01/1997,8.38,7.4,4.33,Not Available,6.86,6.59
05/01/1997,8.65,7.58,4.39,Not Available,7,6.72
06/01/1997,8.91,7.88,4.61,Not Available,7.12,7.08
07/01/1997,8.74,7.86,4.82,Not Available,6.83,7.25
08/01/1997,8.8,7.91,4.76,Not Available,7.12,7.23
09/01/1997,8.75,7.86,4.73,Not Available,7.05,7.12
10/01/1997,8.59,7.66,4.61,Not Available,6.9,6.9
11/01/1997,8.25,7.43,4.45,Not Available,6.75,6.65
12/01/1997,8.03,7.24,4.36,Not Available,6.73,6.6
01/01/1998,7.87,7.22,4.36,Not Available,6.34,6.57
02/01/1998,7.97,7.29,4.31,Not Available,6.68,6.52
03/01/1998,8.01,7.28,4.33,Not Available,6.67,6.53
04/01/1998,8.23,7.31,4.3,Not Available,6.68,6.51
05/01/1998,8.49,7.45,4.41,Not Available,6.68,6.67
06/01/1998,8.53,7.61,4.65,Not Available,6.83,6.97
